ID,Môn học,Cấp học,Độ khó,Câu hỏi,Phương án A,Phương án B,Phương án C,Phương án D,Đáp án đúng,Giải thích (Đáp án gốc)
1,GDCD,THCS,Dễ,Em hãy giải thích: Pháp luật là gì?,"Tuân thủ pháp luật giúp bảo đảm trật tự xã hội, bảo vệ quyền lợi hợp pháp và thực hiện trách nhiệm của công dân.",Pháp luật là hệ thống các quy tắc xử sự chung do Nhà nước ban hành hoặc thừa nhận và bảo đảm thực hiện.,"Thắng lợi có nhiều nguyên nhân, trong đó có sự lãnh đạo của lực lượng cách mạng, quá trình chuẩn bị lâu dài, sức mạnh quần chúng và thời cơ thuận lợi khi Nhật đầu hàng Đồng minh.",Thuật toán là một dãy hữu hạn các bước rõ ràng dùng để giải quyết một bài toán hoặc thực hiện một nhiệm vụ.,B,Pháp luật là hệ thống các quy tắc xử sự chung do Nhà nước ban hành hoặc thừa nhận và bảo đảm thực hiện.
2,GDCD,THCS,Trung bình,Vì sao công dân cần tuân thủ pháp luật?,"Kiểm tra đầu vào giúp phát hiện dữ liệu không hợp lệ, hạn chế lỗi và làm chương trình hoạt động an toàn, đúng hơn.",Pháp luật là hệ thống các quy tắc xử sự chung do Nhà nước ban hành hoặc thừa nhận và bảo đảm thực hiện.,Khóa chính dùng để xác định duy nhất mỗi bản ghi trong một bảng và không được trùng giá trị giữa các bản ghi.,"Tuân thủ pháp luật giúp bảo đảm trật tự xã hội, bảo vệ quyền lợi hợp pháp và thực hiện trách nhiệm của công dân.",D,"Tuân thủ pháp luật giúp bảo đảm trật tự xã hội, bảo vệ quyền lợi hợp pháp và thực hiện trách nhiệm của công dân."
3,Giáo dục kinh tế & pháp luật,THPT,Trung bình,Hãy cho biết Lạm phát là gì?,"Lạm phát cao làm giảm sức mua, gây khó khăn cho việc lập kế hoạch chi tiêu và đầu tư, đồng thời có thể làm tăng bất ổn kinh tế nếu kéo dài.","Con người cần không khí, nước, thức ăn và các điều kiện sống phù hợp.",Cầu là lượng hàng hóa hoặc dịch vụ người mua có khả năng và sẵn sàng mua ở các mức giá khác nhau; cung là lượng hàng hóa hoặc dịch vụ người bán có khả năng và sẵn sàng cung ứng.,"Lạm phát là tình trạng mức giá chung của hàng hóa và dịch vụ tăng lên một cách kéo dài, làm giảm sức mua của đồng tiền.",D,"Lạm phát là tình trạng mức giá chung của hàng hóa và dịch vụ tăng lên một cách kéo dài, làm giảm sức mua của đồng tiền."
4,Lịch sử,Tiểu học,Trung bình,Em hãy giải thích: Ngày Quốc khánh Việt Nam là ngày nào?,"Toàn cầu hóa tăng cường liên kết và trao đổi kinh tế, công nghệ, văn hóa giữa các quốc gia nhưng cũng tạo ra cạnh tranh và nhiều thách thức về bất bình đẳng, môi trường và khả năng thích ứng.",Ngày Quốc khánh Việt Nam là ngày 2 tháng 9.,Chiến thắng Điện Biên Phủ diễn ra năm 1954.,"Thắng lợi có nhiều nguyên nhân, trong đó có sự lãnh đạo của lực lượng cách mạng, quá trình chuẩn bị lâu dài, sức mạnh quần chúng và thời cơ thuận lợi khi Nhật đầu hàng Đồng minh.",B,Ngày Quốc khánh Việt Nam là ngày 2 tháng 9.
5,Lịch sử,Tiểu học,Trung bình,Hãy cho biết Ngày Quốc khánh Việt Nam là ngày nào?,Chiến thắng Điện Biên Phủ diễn ra năm 1954.,Ngày Quốc khánh Việt Nam là ngày 2 tháng 9.,Chiến tranh thế giới thứ hai kết thúc vào năm 1945.,Chủ tịch Hồ Chí Minh đọc Tuyên ngôn Độc lập.,B,Ngày Quốc khánh Việt Nam là ngày 2 tháng 9.
6,Vật lý,THCS,Dễ,Đơn vị của lực trong hệ SI là gì?,Động năng là 1/2 × 2 × 3² = 9 J.,"Đơn vị của lực là niutơn, ký hiệu N.",Vận tốc trung bình là 120/2 = 60 km/h.,Vận tốc được tính bằng quãng đường chia cho thời gian: v = s/t.,B,"Đơn vị của lực là niutơn, ký hiệu N."
7,Sinh học,THCS,Khó,Em hãy giải thích: Vì sao hô hấp tế bào quan trọng đối với cơ thể?,"Quang hợp là quá trình thực vật sử dụng năng lượng ánh sáng để tổng hợp chất hữu cơ từ carbon dioxide và nước, đồng thời giải phóng oxygen.",DNA là phân tử mang và lưu trữ thông tin di truyền ở hầu hết sinh vật.,Gen là một đoạn DNA mang thông tin quy định một sản phẩm chức năng hoặc tham gia quy định một tính trạng theo cơ chế di truyền.,Hô hấp tế bào giải phóng năng lượng từ chất hữu cơ để cung cấp năng lượng cho các hoạt động sống của tế bào.,D,Hô hấp tế bào giải phóng năng lượng từ chất hữu cơ để cung cấp năng lượng cho các hoạt động sống của tế bào.
8,Hóa học,THCS,Trung bình,Hãy cho biết Nguyên tử gồm những thành phần cơ bản nào?,Phản ứng hóa học là quá trình trong đó các chất ban đầu biến đổi thành những chất mới.,"Cân bằng hóa học là trạng thái của phản ứng thuận nghịch khi tốc độ phản ứng thuận bằng tốc độ phản ứng nghịch, khiến nồng độ các chất không đổi theo thời gian ở điều kiện xác định.","Chất xúc tác làm thay đổi tốc độ phản ứng, thường bằng cách cung cấp con đường phản ứng có năng lượng hoạt hóa thấp hơn, và không bị tiêu hao sau phản ứng.","Nguyên tử gồm hạt nhân chứa proton và neutron, cùng các electron chuyển động xung quanh hạt nhân.",D,"Nguyên tử gồm hạt nhân chứa proton và neutron, cùng các electron chuyển động xung quanh hạt nhân."
9,Toán,Tiểu học,Dễ,Hãy cho biết Số nào lớn hơn: 35 hay 53?,x = 4.,53 lớn hơn 35.,Còn lại 29 quyển vở.,Có 16 học sinh nữ và 16 học sinh nam.,B,53 lớn hơn 35.
10,Toán,THPT,Trung bình,Em hãy giải thích: Giải phương trình x² - 5x + 6 = 0.?,53 lớn hơn 35.,Chu vi là 6 × 4 = 24 cm.,Giá trị tích phân là [x²] từ 0 đến 1 = 1.,Hai nghiệm là x = 2 và x = 3.,D,Hai nghiệm là x = 2 và x = 3.
